timestamp,turbine_id,wind_speed,power_kw,status
2025-01-01 00:00:00,T01,7.045,261.693,normal
2025-01-01 00:15:00,T01,5.538,77.813,normal
2025-01-01 00:30:00,T01,3.643,22.574,normal
2025-01-01 00:45:00,T01,5.35,86.986,normal
2025-01-01 01:00:00,T01,6.447,216.009,normal
2025-01-01 01:15:00,T01,6.279,113.951,normal
2025-01-01 01:30:00,T01,6.697,215.192,normal
2025-01-01 01:45:00,T01,6.356,159.202,normal
2025-01-01 02:00:00,T01,5.623,0.0,normal
2025-01-01 02:15:00,T01,6.202,0.0,normal
2025-01-01 02:30:00,T01,5.26,68.214,normal
2025-01-01 02:45:00,T01,6.853,230.636,normal
2025-01-01 03:00:00,T01,6.327,143.137,normal
2025-01-01 03:15:00,T01,5.4,135.804,normal
2025-01-01 03:30:00,T01,6.42,157.488,normal
2025-01-01 03:45:00,T01,5.967,156.017,normal
2025-01-01 04:00:00,T01,7.769,357.415,normal
2025-01-01 04:15:00,T01,5.784,78.512,normal
2025-01-01 04:30:00,T01,6.6,149.025,normal
2025-01-01 04:45:00,T01,5.795,29.2,normal
2025-01-01 05:00:00,T01,6.441,192.46,normal
2025-01-01 05:15:00,T01,7.008,312.681,fault
2025-01-01 05:30:00,T01,4.214,0.0,fault
2025-01-01 05:45:00,T01,4.365,10.24,normal
2025-01-01 06:00:00,T01,5.158,0.0,normal
2025-01-01 06:15:00,T01,4.76,96.897,normal
2025-01-01 06:30:00,T01,4.706,82.763,normal
2025-01-01 06:45:00,T01,3.921,0.0,normal
2025-01-01 07:00:00,T01,6.745,154.836,normal
2025-01-01 07:15:00,T01,7.241,397.534,normal
2025-01-01 07:30:00,T01,4.587,25.575,normal
2025-01-01 07:45:00,T01,3.861,15.945,normal
2025-01-01 08:00:00,T01,5.206,84.171,normal
2025-01-01 08:15:00,T01,5.484,49.005,normal
2025-01-01 08:30:00,T01,4.949,0.0,normal
2025-01-01 08:45:00,T01,5.552,108.673,normal
2025-01-01 09:00:00,T01,4.673,39.796,normal
2025-01-01 09:15:00,T01,6.633,209.94,normal
2025-01-01 09:30:00,T01,7.364,342.799,normal
2025-01-01 09:45:00,T01,8.24,509.06,normal
2025-01-01 10:00:00,T01,4.976,35.033,normal
2025-01-01 10:15:00,T01,6.359,164.808,normal
2025-01-01 10:30:00,T01,5.473,0.0,normal
2025-01-01 10:45:00,T01,2.976,0.0,normal
2025-01-01 11:00:00,T01,6.81,196.549,normal
2025-01-01 11:15:00,T01,6.837,214.539,normal
2025-01-01 11:30:00,T01,5.221,29.367,normal
2025-01-01 11:45:00,T01,5.326,64.578,normal
2025-01-01 12:00:00,T01,3.845,0.0,normal
2025-01-01 12:15:00,T01,3.611,0.0,normal
2025-01-01 12:30:00,T01,5.77,104.609,normal
2025-01-01 12:45:00,T01,5.597,111.184,normal
2025-01-01 13:00:00,T01,5.225,0.0,normal
2025-01-01 13:15:00,T01,5.465,70.514,normal
2025-01-01 13:30:00,T01,4.576,20.638,normal
2025-01-01 13:45:00,T01,6.175,284.751,normal
2025-01-01 14:00:00,T01,6.023,78.053,normal
2025-01-01 14:15:00,T01,5.303,197.428,normal
2025-01-01 14:30:00,T01,4.522,36.598,normal
2025-01-01 14:45:00,T01,3.478,0.0,normal
2025-01-01 15:00:00,T01,4.067,41.576,normal
2025-01-01 15:15:00,T01,8.025,442.174,normal
2025-01-01 15:30:00,T01,6.94,162.266,normal
2025-01-01 15:45:00,T01,5.677,40.459,normal
2025-01-01 16:00:00,T01,5.059,5.452,normal
2025-01-01 16:15:00,T01,5.196,0.575,normal
2025-01-01 16:30:00,T01,5.692,88.121,normal
2025-01-01 16:45:00,T01,4.954,0.0,normal
2025-01-01 17:00:00,T01,6.518,166.484,normal
2025-01-01 17:15:00,T01,6.679,157.978,normal
2025-01-01 17:30:00,T01,4.974,76.726,normal
2025-01-01 17:45:00,T01,6.696,140.186,normal
2025-01-01 18:00:00,T01,6.352,195.083,normal
2025-01-01 18:15:00,T01,7.071,271.268,normal
2025-01-01 18:30:00,T01,6.598,244.024,normal
2025-01-01 18:45:00,T01,6.28,344.699,normal
2025-01-01 19:00:00,T01,4.927,83.423,normal
2025-01-01 19:15:00,T01,6.86,204.823,normal
2025-01-01 19:30:00,T01,6.648,250.051,normal
2025-01-01 19:45:00,T01,6.907,279.165,normal
2025-01-01 20:00:00,T01,6.094,95.132,normal
